Word embeddings reading completes and total number of words is:38791

Skip: 小心谨慎  谨慎小心 
Skip: 座椅  坐椅 
Skip: 枝桠  枝丫 
Skip: 辞藻  词藻 
Skip: 游泳池  泳池 
Skip: 深情厚谊  深情厚意 
Skip: 普通百姓  普通老百姓 
Skip: 梦呓  呓语 
Skip: 裤兜  裤袋 
Skip: 猎犬  猎狗 
Skip: 父母  爸妈 
Skip: 察觉  觉察 
Skip: 遛弯  遛弯儿 
Skip: 银灰色  银灰 
Skip: 倔强  倔犟 
Skip: 风姿  丰姿 
Skip: 奥运  奥运会 
Skip: 想象  想像 
Skip: 虚无缥缈  虚无飘渺 
Skip: 这几天  这些天 
Skip: 警察局  警局 
Skip: 做伴  作伴 
Skip: 环顾  环视 
Skip: 超出预期  超过预期 
Skip: 移到  移至 
Skip: 有些偏高  有点偏高 
Skip: 故技  故伎 
Skip: 汁液  汁水 
Skip: 兵士  士卒 
Skip: 红外  红外线 
Skip: 做手术  动手术 
Skip: 捉弄  作弄 
Skip: 作秀  做秀 
Skip: 血红  血红色 
Skip: 有说服力  具有说服力 
Skip: 躲闪  闪躲 
Skip: 窥视  窥探 
Skip: 缉拿  缉捕 
Skip: 屠杀  屠戮 
Skip: 悲鸣  哀鸣 
Skip: 战栗  颤栗 
Skip: 絮絮叨叨  絮叨 
Skip: 佐料  作料 
Skip: 服侍  侍候 
Skip: 作孽  造孽 
Skip: 登陆舰  登陆艇 
Skip: 账单  帐单 
Skip: 效仿  仿效 
Skip: 唯独  惟独 
Skip: 东南西北  东西南北 
Skip: 垃圾桶  垃圾箱 
Skip: 施压  施加压力 
Skip: 火爆  火暴 
Skip: 颤巍巍  颤颤巍巍 
Skip: 葱郁  葱茏 
Skip: 炫目  眩目 
Skip: 秸秆  秸杆 
Skip: 纽扣  钮扣 
Skip: 微词  微辞 
Skip: 笑容  笑颜 
Skip: 换挡  换档 
Skip: 源于  源自 
Skip: 晃荡  晃悠 
Skip: 课税  课征 
Skip: 信心十足  满怀信心 
Skip: 空难  飞机失事 
Skip: 黄金时段  黄金时间 
Skip: 亲友  亲朋好友 
Skip: 炽热  炙热 
Skip: 文武双全  文武全才 
Skip: 聪慧  聪颖 
Skip: 漩涡  旋涡 
Skip: 惊异  惊诧 
Skip: 环视  四顾 
Skip: 援军  援兵 
Skip: 消暑  解暑 
Skip: 猜测  揣测 
Skip: 飙升  急升 
Skip: 慢腾腾  慢慢吞吞 
Skip: 做作  造作 
Skip: 坐垫  座垫 
Skip: 嫌疑人  疑犯 
Skip: 裤腿  裤管 
Skip: 停止销售  停售 
Skip: 护佑  佑护 
Skip: 耳畔  耳旁 
Skip: 鲜艳  艳丽 
Skip: 孤身一人  孤身 
Skip: 消防队员  消防员 
Skip: 帽檐  帽沿 
Skip: 除夕  除夕夜 
Skip: 第三名  季军 
Skip: 采样  取样 
Skip: 橘红色  桔红色 
Skip: 鲁莽  莽撞 
Skip: 绚丽多彩  绚丽多姿 
Skip: 决然  毅然决然 
Skip: 忐忑不安  忐忑 
Skip: 聪明  聪慧 
Skip: 匮乏  贫乏 
Skip: 机动车  机动车辆 
Skip: 寿宴  寿筵 
Skip: 账户  帐户 
Skip: 郁郁葱葱  葱郁 
Skip: 泪水  泪珠 
Skip: 跪拜  叩拜 
Skip: 扎根  植根于 
Skip: 衣衫褴褛  褴褛 
